prj	local	autoridade	tipo	Ano	cod	Norma	status	viavel	Nota	Tags	Ementa
	br;sp;sao.paulo	municipal	dec	2004	45400	DECRETO Nº 45.400 	Vig	S		bolsa-trabalho; regras	Regulamenta a Lei nº 13.841, de 7 de junho de 2004, que dispõe sobre normas do Programa Bolsa-Trabalho - PBT e revoga a Lei nº 13.163, de 5 de julho de 2001.
	br;sp;sao.paulo	municipal	dec	2004	45631	DECRETO Nº 45.631 	Vig	S	2	cooperativa; reciclagem; permissão	Dispoe sobre permissão de uso de bens móveis, a título precário e gratuito, destinados a implantação do Programa Socioambiental Cooperativa de Catadores de Material Reciclável.
	br;sp;sao.paulo	municipal	dec	2004	45632	DECRETO Nº 45.632 	Vig	g1	2	cooperativa; reciclagem; permissão	Dispoe sobre permissão de uso de bens móveis, a título precário e gratuito, destinados a implantação do Programa Socioambiental Cooperativa de Catadores de Material Reciclável.
	br;sp;sao.paulo	municipal	dec	2004	45633	DECRETO Nº 45.633 	Vig	g1	2	cooperativa; reciclagem; permissão	Dispõe sobre permissão de uso de bens móveis, a título precario e gratuito, destinados a implantação do Programa Socioambiental Cooperativa de Catadores de Material Reciclável.
	br;sp;sao.paulo	municipal	dec	2004	45634	DECRETO Nº 45.634 	Vig	g1	2	cooperativa; reciclagem; permissão	Dispõe sobre permissão de uso de bens móveis, a título precário e gratuito, destinados a implantação do Programa Socioambiental Cooperativa de Catadores de Material Reciclável.
	br;sp;sao.paulo	municipal	dec	2004	45635	DECRETO Nº 45.635 	Vig	g1	2	cooperativa; reciclagem; permissão	Dispõe sobre permissão de uso de bens móveis, a título precário e gratuito, destinados a implantação do Programa Socioambiental Cooperativa de Catadores de Material Reciclável.
	br;sp;sao.paulo	municipal	dec	2004	45636	DECRETO Nº 45.636 	Vig	g1	2	cooperativa; reciclagem; permissão	Dispõe sobre permissão de uso de bens móveis, a título precário e gratuito, destinados a implantação do Programa Socioambiental Cooperativa de Catadores de Material Reciclável.
	br;sp;sao.paulo	municipal	dec	2007	48799	DECRETO Nº 48.799 	Vig	S	1	cooperativa; reciclagem	Confere nova normatização ao Programa Socioambiental Cooperativa de Catadores de Material Reciclável, altera a sua denominação para Programa Socioambiental de Coleta Seletiva de Resíduos Recicláveis e revoga o Decreto nº 42.290, de 15 de agosto de 2002.
	br;sp;sao.paulo	municipal	dec	2008	49246	DECRETO Nº 49.246 	Vig	g2		cooperativa; reciclagem; coleta	Dispõe sobre permissão de uso de bens móveis e de imóvel, a título precário e gratuito, à Cooperativa de Trabalhadores de Reciclagem e Beneficiamento - CRESCER, para os fins do Programa Socioambiental de Coleta Seletiva de Resíduos Recicláveis.
	br;sp;sao.paulo	municipal	dec	2008	49253	DECRETO Nº 49.253 	Vig	g2		cooperativa; reciclagem; coleta	Dispõe sobre permissão de uso de bens móveis e de imóvel, a título precário e gratuito, à COOPERAÇÃO - Cooperativa Regional de Coleta Seletiva e Reciclagem da Região Oeste, para os fins do Programa Socioambiental de Coleta Seletiva de Resíduos Recicláveis.
